contrast_imbalance,MEAN,SEM,STD,VAR,CV
0,1800.,0.209876543,0.555281139,0.308337144,0.301864243
20,1900.,0.222222222,0.587944736,0.345679012,0.307248539
40,2200.,0.320987654,0.849253507,0.72123152,0.386458057
60,2700.,0.308641975,0.816589911,0.666819082,0.36951834
80,3200.,0.901234568,2.38444254,5.685566225,0.677683669
