contrast_imbalance,bias_sust,bias_onst,sem_sust,sem_onst,std_sust,std_onst
0,-0.017,-0.002,0.041,0.155,0.108475804,0.410091453
20,0.025,0.928,0.041,0.048,0.108475804,0.126996063
40,0.07,0.985,0.069,0.028,0.18255684,0.074081037
60,0.144,0.993,0.078,0.015,0.206368602,0.03968627
80,0.272,0.997,0.185,0.013,0.489463993,0.034394767
