contrast_imbalance,MEAN,SEM,STD,VAR,CV
0,1700.,0.148148148,0.391963157,0.153635117,0.225170324
20,1700.,0.172839506,0.45729035,0.209114464,0.262698712
40,1700.,0.209876543,0.555281139,0.308337144,0.338178739
60,1700.,0.160493827,0.424626754,0.18030788,0.289031656
80,1700.,0.185185185,0.489953946,0.24005487,0.293972368
